Source,Target,Type,Weight
1,2,Undirected,10
1,3,Undirected,17
1,4,Undirected,30
1,17,Undirected,7
1,19,Undirected,6
1,21,Undirected,9
1,22,Undirected,13
1,23,Undirected,13
1,24,Undirected,5
1,25,Undirected,7
1,26,Undirected,40
1,27,Undirected,6
1,29,Undirected,5
1,30,Undirected,13
1,31,Undirected,36
1,32,Undirected,107
1,33,Undirected,5
1,34,Undirected,5
1,6,Undirected,85
1,35,Undirected,11
1,36,Undirected,29
1,37,Undirected,10
1,38,Undirected,5
1,39,Undirected,8
1,74,Undirected,7
1,45,Undirected,38
1,75,Undirected,5
1,76,Undirected,27
1,77,Undirected,9
1,78,Undirected,25
1,79,Undirected,7
1,80,Undirected,12
1,81,Undirected,7
1,87,Undirected,5
1,89,Undirected,8
1,90,Undirected,8
1,91,Undirected,9
1,100,Undirected,8
1,102,Undirected,7
1,103,Undirected,7
1,104,Undirected,19
1,69,Undirected,78
1,105,Undirected,10
1,108,Undirected,47
1,109,Undirected,43
1,71,Undirected,78
1,84,Undirected,25
1,85,Undirected,33
1,112,Undirected,7
1,114,Undirected,6
1,115,Undirected,8
1,116,Undirected,26
1,117,Undirected,6
1,119,Undirected,21
1,72,Undirected,19
1,10,Undirected,82
1,122,Undirected,10
1,123,Undirected,34
1,134,Undirected,15
1,135,Undirected,19
1,136,Undirected,11
1,144,Undirected,23
1,145,Undirected,8
1,131,Undirected,18
1,146,Undirected,7
1,147,Undirected,8
1,47,Undirected,16
1,148,Undirected,14
1,149,Undirected,22
1,8,Undirected,16
1,150,Undirected,7
1,157,Undirected,6
1,159,Undirected,10
1,160,Undirected,10
1,162,Undirected,6
1,179,Undirected,7
1,14,Undirected,23
1,92,Undirected,11
1,188,Undirected,5
1,189,Undirected,25
1,191,Undirected,11
1,192,Undirected,11
1,193,Undirected,11
1,184,Undirected,8
1,56,Undirected,17
1,229,Undirected,28
1,233,Undirected,6
1,83,Undirected,42
1,138,Undirected,12
1,235,Undirected,6
1,178,Undirected,9
1,240,Undirected,17
1,241,Undirected,9
1,129,Undirected,14
1,242,Undirected,5
1,239,Undirected,8
1,248,Undirected,13
1,249,Undirected,5
1,259,Undirected,56
1,261,Undirected,18
1,262,Undirected,26
1,263,Undirected,6
1,264,Undirected,6
1,286,Undirected,5
1,165,Undirected,5
1,288,Undirected,17
1,290,Undirected,7
1,292,Undirected,6
1,293,Undirected,7
1,198,Undirected,17
